City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Fortuna,US,2023-02-01 02:59:05,40.5982,-124.1573,45.52,88,0,0.0
90,Saldanha,ZA,2023-02-01 02:59:07,-33.0117,17.9442,59.05,92,0,12.95
91,Shimoda,JP,2023-02-01 02:59:07,34.6667,138.95,53.1,60,25,17.9
92,Bluff,NZ,2023-02-01 02:59:08,-46.6,168.3333,62.94,87,100,5.84
93,Erenhot,CN,2023-02-01 02:59:09,43.6475,111.9767,9.1,49,0,5.55
94,Bredy,RU,2023-02-01 02:59:09,52.4153,60.3411,1.63,97,82,6.35
95,Gat,IL,2023-02-01 02:59:10,31.61,34.7642,53.4,100,63,18.34
96,Montescaglioso,IT,2023-02-01 02:59:11,40.5522,16.6669,39.99,63,7,7.92
97,Hithadhoo,MV,2023-02-01 02:47:57,-0.6,73.0833,81.03,73,19,12.5
98,Saint-Philippe,RE,2023-02-01 02:55:46,-21.3585,55.7679,76.59,87,89,11.7
99,Kodiak,US,2023-02-01 02:59:12,57.79,-152.4072,38.71,87,100,5.75
100,Dikson,RU,2023-02-01 02:59:13,73.5069,80.5464,-11.85,93,23,8.25
101,Mahebourg,MU,2023-02-01 02:54:16,-20.4081,57.7,77.29,88,40,6.91
102,Lata,PT,2023-02-01 02:51:28,40.1629,-8.3327,33.08,78,0,3.18
103,Bredasdorp,ZA,2023-02-01 02:54:35,-34.5322,20.0403,64.8,95,12,4.45
104,Ponta Do Sol,PT,2023-02-01 02:49:45,32.6667,-17.1,59.63,65,65,5.97
105,Shush,IR,2023-02-01 02:59:17,32.1942,48.2436,52.97,90,5,5.46
106,Sioux Lookout,CA,2023-02-01 02:51:42,50.1001,-91.917,-16.53,83,20,2.3
107,Marystown,CA,2023-02-01 02:59:21,47.1666,-55.1483,27.93,90,100,18.5
108,Grand Gaube,MU,2023-02-01 02:59:21,-20.0064,57.6608,78.39,81,99,16.71
109,Bengkulu,ID,2023-02-01 02:49:59,-3.8004,102.2655,80.58,76,100,7.4
110,Antalaha,MG,2023-02-01 02:59:22,-14.9003,50.2788,75.87,88,50,5.3
111,Saurimo,AO,2023-02-01 02:59:22,-9.6608,20.3916,63.93,88,100,2.62
112,Kailua,US,2023-02-01 02:59:25,21.4022,-157.7394,83.61,81,20,6.91
113,Hamilton,US,2023-02-01 02:59:25,39.1834,-84.5333,26.24,68,100,6.91
114,Butaritari,KI,2023-02-01 02:59:26,3.0707,172.7902,80.22,79,100,16.84
115,Longyearbyen,SJ,2023-02-01 02:49:43,78.2186,15.6401,15.64,67,20,14.97
116,Pachino,IT,2023-02-01 02:59:27,36.7186,15.0907,49.17,61,6,8.9
117,Geraldton,AU,2023-02-01 02:49:52,-28.7667,114.6,91.81,27,0,11.5
118,Sangar,RU,2023-02-01 02:59:28,63.9242,127.4739,-29.0,93,100,3.96
119,Vao,NC,2023-02-01 02:59:29,-22.6667,167.4833,79.23,77,81,11.54
120,Itaquitinga,BR,2023-02-01 02:59:30,-7.6678,-35.1017,75.09,85,74,3.04
121,Marawi,PH,2023-02-01 02:59:33,7.9986,124.2928,82.04,61,18,4.43
122,Narsaq,GL,2023-02-01 02:55:00,60.9167,-46.05,17.82,94,100,3.22
123,Arraial Do Cabo,BR,2023-02-01 02:56:57,-22.9661,-42.0278,75.69,88,85,24.49
124,Saint-Augustin,CA,2023-02-01 02:45:38,51.226,-58.6502,-7.37,82,1,8.57
