City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
35,Avarua,CK,2023-01-31 02:45:15,-21.2078,-159.775,78.85,89,100,13.8
36,Wattegama,LK,2023-01-31 02:45:16,6.7989,81.4808,73.58,89,100,1.66
37,Longyearbyen,SJ,2023-01-31 02:45:17,78.2186,15.6401,17.44,73,20,13.8
38,Chernyshevskiy,RU,2023-01-31 02:45:19,63.0128,112.4714,-26.86,100,100,1.61
39,Saint-Denis,FR,2023-01-31 02:45:20,48.9167,2.3333,38.14,91,0,4.61
40,San Cristobal,VE,2023-01-31 02:45:21,7.7669,-72.225,69.98,90,31,2.75
41,Hualmay,PE,2023-01-31 02:45:22,-11.0964,-77.6139,71.76,82,100,6.82
42,Katsuura,JP,2023-01-31 02:45:23,35.1333,140.3,44.62,43,66,8.23
43,East London,ZA,2023-01-31 02:41:35,-33.0153,27.9116,69.3,90,99,18.43
44,Esperance,AU,2023-01-31 02:45:25,-33.8667,121.9,70.21,67,3,14.7
45,Aklavik,CA,2023-01-31 02:45:25,68.2191,-135.0107,-31.18,100,45,0.49
46,Mataura,NZ,2023-01-31 02:45:26,-46.1927,168.8643,87.67,33,12,1.41
47,Tasiilaq,GL,2023-01-31 02:45:27,65.6145,-37.6368,12.36,94,100,2.8
48,Sidney,AU,2023-01-31 02:40:55,-33.8679,151.2073,82.62,71,75,19.57
49,Saint George,US,2023-01-31 02:44:58,37.1041,-113.5841,34.39,51,0,5.75
50,Mount Gambier,AU,2023-01-31 02:45:29,-37.8333,140.7667,72.05,42,22,8.63
51,Cherskiy,RU,2023-01-31 02:45:29,68.75,161.3,22.37,84,100,4.9
52,Bilma,NE,2023-01-31 02:45:30,18.6853,12.9164,61.95,21,100,11.03
53,Hamilton,US,2023-01-31 02:45:32,39.1834,-84.5333,30.24,89,100,11.5
54,Puerto Ayora,EC,2023-01-31 02:45:33,-0.7393,-90.3518,77.56,90,96,1.01
55,Yellowknife,CA,2023-01-31 02:42:36,62.456,-114.3525,-22.45,69,75,8.05
56,Port Alfred,ZA,2023-01-31 02:45:34,-33.5906,26.891,66.18,95,97,3.0
57,Kapaa,US,2023-01-31 02:45:36,22.0752,-159.319,69.78,92,100,4.61
58,Nikolskoye,RU,2023-01-31 02:45:36,59.7035,30.7861,33.8,97,100,12.08
59,New Norfolk,AU,2023-01-31 02:45:36,-42.7826,147.0587,76.91,33,1,5.01
60,Coari,BR,2023-01-31 02:45:37,-4.085,-63.1414,73.26,97,100,2.24
